District in Greater Cairo where you live,Which day of the week (phase I) are you filling the information for?,"How many HOURS did you spend at HOME/DORM today? 
Please answer in real numbers","Water consumption during Showering during the time you spent at HOME/DORM (9.46 liters per min. Taking a bath is 189.2 liters per tub). 
Please insert your answer in real numbers","Water consumption for Toilet Flushing during the time you spent at HOME/DORM (11.35 liters per flush). 
Please insert your answer in real numbers","Water consumption for Washing Dishes by hand during the time you spent at HOME/DORM (7.57 liters per min). 
Please insert your answer in real numbers","Water consumption for Washing Hands during the time you spent at HOME/DORM (3.78 liters per min). 
Please insert your answer in real numbers","Water consumption during Watering Plants during the time you spent at HOME/DORM (can vary widely but try to estimate the average amount of time water is poured).
Please insert your answer in real numbers","Water consumption while Drinking during the time you spent at HOME/DORM (Try to estimate the average amount of water used: 0.23 liters per glass of water, or 0.6 liters per small water bottle)
Please insert your answer in real numbers","How many HOURS did you spend at UNIVERSITY today? 
Please answer in real numbers","Water consumption during Showering during the time you spent at THE UNIVERSITY (9.46 liters per min. Taking a bath is 189.2 liters per tub). 
Please insert your answer in real numbers","Water consumption for Toilet Flushing during the time you spent at the UNIVERSITY (11.35 liters per flush). 
Please insert your answer in real numbers","Water consumption for Washing Hands during the time you spent at the UNIVERSITY (3.78 liters per min). 
Please insert your answer in real numbers","Water consumption while Drinking during the time you spent at the UNIVERSITY (Try to estimate the average amount of water used: 0.23 liters per glass of water, or 0.6 liters per small water bottle)
Please insert your answer in real numbers","Can you tell us about the type of OTHER PLACES you are filling the information for (restaurent? club? hanging around?, etc.)","How many HOURS did you spend at OTHER PLACES today? 
Please answer in real numbers","Water consumption during Showering during the time you spent at OTHER PLACES (9.46 liters per min. Taking a bath is 189.2 liters per tub). 
Please insert your answer in real numbers","Water consumption for Washing Hands during the time you spent at OTHER PLACES (3.78 liters per min). 
Please insert your answer in real numbers","Water consumption for Toilet Flushing during the time you spent at OTHER PLACES (11.35 liters per flush). 
Please insert your answer in real numbers","Water consumption while Drinking during the time you spent at OTHER PLACES (Try to estimate the average amount of water used: 0.23 liters per glass of water, or 0.6 liters per small water bottle)
Please insert your answer in real numbers","Water consumption for Washing Dishes in a Dish Washing Machine at HOME/DORM (15 liters per load/cycle). 
Please insert your answer in real numbers","Water consumption for Washing Dishes in a Dish Washing Machine at OTHER PLACES (15 liters per load/cycle). 
Please insert your answer in real numbers","Water consumption for Washing Dishes by hand during the time you spent at OTHER PLACES (7.57 liters per min). 
Please insert your answer in real numbers"
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",14,141.9,22.7,0,170.1,0,1.2,10,0,22.7,5.67,0.6,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",19,189.2,91,0,34.02,0,3.6,2,0,0,0,0,Club,3,47.3,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",13,113.52,13.62,0,33.264,0,3.6,6,0,0,18.9,2.4,Hanging Around,5,0,0,0,9.6,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",4,20,2,0,10,0,2,3,0,1,2,1,Wedding,6,0,1,0,1,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, October 26th 2023",2,5,1,0,2,0,0,10,0,4,4,4,Cafe,3,0,0,0,1,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",13,123,4,0,11.34,4,1.15,9,0,11.35,11.25 mintes,0,NA,0,0,0,0,0,15,0,0
AUC Dorm,"Thursday, October 26th 2023",10,0,22.7,0,11.34,0,0.6,7,0,22.7,7.56,1.5,Party,6,0,3.78,11.35,1.2,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",17,66.22,56.75,0,22.68,0,1.38,4,0,0,3.78,0,mall,3,0,3.78,11.35,0,15,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, October 26th 2023",13,378.4,45.4,0,18.9,0,0.69,4,0,0,3.78,1.6,restaurant,6,0,7.56,0,0.23,15,0,0
"Miṣr al-Qadīmah [Old Cairo] , مصر القديمة","Thursday, October 26th 2023",8,66.22,11.35,32.84,3.78,0,1,10,0,15.13,3.78,1,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",10,529.76,45.4,45.42,0,0,1.15,2,0,0,3.78,0,0,0,0,0,0,0,15,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",10,113.52,45.4,0,22.68,10,1.15,4,0,0,0,0,0,0,0,0,0,0,15,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Tuesday, October 24th 2023",12,47.3,56.75,30.28,11.34,0,1.8,2,0,11.35,3.78,0.6,N/A,0,0,0,0,0,15,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Monday, October 23rd 2023",7,47.3,45.4,37.85,15.12,0,1.8,9,0,22.7,3.78,0.6,N/A,0,0,0,0,0,15,0,0
"Ash-Shurūq , الشروق","Thursday, October 26th 2023",9,406.78,22.7,0,0,0,0.8,13,0,56.75,15.12,4.7,Mall,3,0,0,0,0.6,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, October 26th 2023",14,47.3,45.4,0,11.34,0,1.2,5,0,0,3.78,0.6,Restaurant ,5,0,7.56,11.35,0.6,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Wednesday, October 25th 2023",6,47.3,45.4,30.28,18.9,0,2.4,4,0,0,0,0.6,N/A,0,0,0,0,0,15,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Thursday, October 26th 2023",2,56.76,0,0,11.34,0,0.6,7,0,45.4,18.9,1.2,Restaurant ,4,0,3.78,11.35,1,15,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, October 26th 2023",14,189.2,45.4,12.112,0,0,1.8,9,0,22.7,9,1.8,no other place ,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",18,37.84,34.05,0,11.34,0,1,4,0,0,0,0.8,mall,0.5,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",24,56.76,45.4,0,18.9,0,1.2,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0
"Al-'Ubūr [El Ubour] , العبور","Wednesday, October 25th 2023",4.75,94.6,11.35,0,15.12,0,0.46,6,0,11.35,5.67,0,restaurant ,3,0,5.67,0,0.6,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, October 26th 2023",5,141.9,34.05,0,3.78,0,1.2,10,0,0,1.89,1.2,0,0,0,0,0,0,0,0,0
"Al-'Ubūr [El Ubour] , العبور","Thursday, October 26th 2023",14,0,34.05,0,37.8,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, October 26th 2023",12,0,34.05,0,18.9,0,1.8,4,0,0,0,0.6,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",10,0,4,0,6,0,1.2,1,0,0,0,0.6,0,0,0,0,0,0,0,0,0
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Tuesday, October 24th 2023",12,946,32,0,9,0,8,0,0,0,0,0,Gym,2,94.6,5,0,2.4,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",12,1,3,0,0,0,1.8,2,0,2,2,0.6,N/A,0,0,0,0,0,0,0,0
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Wednesday, October 25th 2023",8,94.6,22.7,0,7,0,3,7,0,22.7,8,2.4,0,0,0,0,0,0,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Sunday, October 22nd 2023",16,104.6,45.4,0,1.89,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Monday, October 23rd 2023",8,94.6,50,0,10,0,5,5,0,30,7,2.4,0,0,0,0,0,0,0,0,0
AUC Dorm,"Sunday, October 22nd 2023",19,165.55,22.7,68.13,23.44,0,1.61,6,0,0,0,0.6,0,0,0,0,0,0,0,0,0
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Thursday, October 26th 2023",8,189.2,68.1,0,15.12,0,0.8,7,0,11.35,3.78,0.3,No,0,0,0,0,0,0,0,0
AUC Dorm,"Thursday, October 26th 2023",13,227.04,68.1,113.5,10.71,0,1,3,0,0,0,0,restaurant and a trip on a boat through the Nile river ,8,0,0,0,1.25,0,0,0
AUC Dorm,"Monday, October 23rd 2023",21,175.96,34.05,27,32.13,0,1.76,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",3,21.758,22.7,0,1.77,0,0.8,13,0,34.05,1.02,1.8,none,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",5,41.53,45.4,0,3.969,0,1,5.5,0,56.75,0.378,1.2,doctor’s clinic,1.5,0,0,0,0.6,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",3,23.65,45.4,0,4.53,0,0.6,12.5,0,34.05,0.4158,1.2,none,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, October 26th 2023",3,47.3,34.04,0,1.285,0,1,12,0,22.7,1.89,2.4,none,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",7,28.38,90.8,0,5.67,0,1.75,5,0,0,0,1.2,none,0,0,0,0,0,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Monday, October 23rd 2023",14,75.68,34.05,0,2.898,0,0.23,7.5,0,11.35,1.57,1,0,0,0,0,0,0,0,0,0
AUC Dorm,"Tuesday, October 24th 2023",19,0,22.7,105.6,85.05,0,1.43,5,0,11.35,2,0.46,0,0,0,0,0,0,0,0,0
AUC Dorm,"Thursday, October 26th 2023",2,75.86,11.35,0,7.56,0,2,8,0,11.35,3.78,1,None,0,0,0,0,0,0,0,0
AUC Dorm,"Wednesday, October 25th 2023",15,155.95,22.7,96.89,49.5,0,1.66,9,0,0,0,0.6,0,0,0,0,0,0,0,0,0
AUC Dorm,"Sunday, October 22nd 2023",20,56.76,45.4,0,16.7,0,1,4,0,0,0,0,NA,0,0,0,0,0,0,0,0
AUC Dorm,"Thursday, October 26th 2023",18,0,2,79.5,71.9,0,2.35,6,0,11.35,2.6,0.83,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",13,124.872,45.4,0,13.3812,0,2.72,6,0,0,0,1.8,0,0,0,0,0,0,45,0,0
AUC Dorm,"Monday, October 23rd 2023",14,94.6,34.05,0,21.42,0,0.4,10,0,11.35,2.2,0,NA,0,0,0,0,0,0,0,0
AUC Dorm,"Monday, October 23rd 2023",5,75.68,34.05,22.71,15.04,0,1,9,0,22.7,5.68,1.8,Ice cream store,2,0,0,0,0,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Tuesday, October 24th 2023",12,141.9,22.7,0,3.78,0,0.46,5,0,11.35,1.89,0.6,hanging around ,4.5,0,0.945,11.35,0.23,0,0,0
AUC Dorm,"Tuesday, October 24th 2023",3,37.84,34.05,0,15.12,0,1.8,12,0,32.05,5.67,2.4,no,0,0,0,0,0,0,0,0
AUC Dorm,"Tuesday, October 24th 2023",17,0,34.05,0,23.625,0,0.4,7,0,0,0,0.23,NA,0,0,0,0,0,0,0,0
"Ash-Shurūq , الشروق","Sunday, October 22nd 2023",15,141.9,34.05,0,22.68,0,6,8,0,0,11.34,3.6,gym,1,0,0,0,0.6,15,0,0
"Al-'Ubūr [El Ubour] , العبور","Thursday, October 26th 2023",9,227.04,22.7,0,5.67,0,0.6,2,0,0,1.638,0.2,friend's house,7,0,5.67,22.7,0.9,0,0,0
"Al-'Ubūr [El Ubour] , العبور","Wednesday, October 25th 2023",12,134.96,56.75,0,11.34,0,1.4,4.25,0,11.35,1.89,0.3,N/A,0,0,0,0,0,0,0,0
"Al-'Ubūr [El Ubour] , العبور","Tuesday, October 24th 2023",9,141.9,45.4,0,9.45,0,1,7.5,0,34.05,7.56,1,N/A,0,0,0,0,0,0,0,0
AUC Dorm,"Wednesday, October 25th 2023",2,66.22,11.35,0,7.56,0,0.3,13,0,45.4,5.67,1.5,no,0,0,0,0,0,0,0,0
"Al-'Ubūr [El Ubour] , العبور","Monday, October 23rd 2023",14,122.98,90.8,0,17.955,0,1.84,2.5,0,0,0,0.3,N/A,0,0,0,0,0,0,0,0
"Al-'Ubūr [El Ubour] , العبور","Sunday, October 22nd 2023",11,141.9,45.4,0,9.765,0,1.2,5,0,22.7,3.339,0.6,N/A,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",6,111.5,34.05,0,8.6,0,1.8,6.5,0,22.7,2.646,1.2,gym,1.6,0,0,0,0.6,0,0,0
"Ash-Shurūq , الشروق","Wednesday, October 25th 2023",12,94.6,34.05,0,15.12,0,0.6,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Wednesday, October 25th 2023",15,94.6,22.7,0,2.52,0,0.6,3,0,11.35,0.8,0.23,restaurant and cafe,3,0,1.26,11.35,0.6,0,0,0
"Ash-Shurūq , الشروق","Tuesday, October 24th 2023",12,190,45.4,227.1,19,0,1.15,9,0,0,3.78,3,gym,1,0,0,0,0.6,15,0,0
AUC Dorm,"Wednesday, October 25th 2023",19,0,34.05,15.14,21.735,0,0.95,5,0,0,0,0,NA,0,0,0,0,0,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Thursday, October 26th 2023",13,66.22,22.7,0,0.945,0,0.23,8,0,11.35,0.63,0.6,cafe,3,0,0,0,0.6,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",15,58.9358,34.05,59.803,16.1028,0,2.1,7,0,11.35,4.914,1,mall,4,0,0,0,0.23,0,0,0
"Ash-Shurūq , الشروق","Tuesday, October 24th 2023",18,94.6,45.4,7.57,0,0,1.61,2,0,0,0,0,gym,1,0,0,0,0.23,0,0,0
"Ash-Shurūq , الشروق","Thursday, October 26th 2023",12,94.6,22.7,0,11.34,0,0,5,0,0,0,0.23,My friends house,2,0,3.78,0,0,0,0,0
AUC Dorm,"Thursday, October 26th 2023",14,66.22,22.7,0,4.41,0,0.75,10,0,0,0,0,NA,0,0,0,0,0,0,0,0
"Ash-Shurūq , الشروق","Wednesday, October 25th 2023",10,56.76,11.35,0,7.56,0,1.61,2,0,0,0,0,gym,2,0,0,0,2.07,15,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",5,72,45.4,0,5.23,0,1.8,5.5,0,11.35,1.64,0.6,gym,2,0,0.9,11.35,0.6,0,0,0
"Ash-Shurūq , الشروق","Thursday, October 26th 2023",7,236.5,56.75,52.99,0,0,2.07,11,0,45.4,22.68,0.6,gym,1,0,0,0,0.6,15,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Wednesday, October 25th 2023",24,236.5,56.75,0,16.22,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Thursday, October 26th 2023",16,170.28,56.75,0,13.14,0,0,5,0,11.35,1.52,0,Restaurant,2,0,1.35,0,0,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Tuesday, October 24th 2023",17,170.28,56.75,0,17.25,0,0,3,0,0,0,0,N/A,0,0,0,0,0,0,0,0
AUC Dorm,"Sunday, October 22nd 2023",3,66.22,34.05,0,17.01,0,1,11,0,34.05,5.67,2.4,nothing,0,0,0,0,0,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Thursday, October 26th 2023",11,378.4,22.7,0,37.8,0,0.46,7,0,11.35,7.56,0.9,Hanging around,6,0,0,0,1.2,0,0,0
AUC Dorm,"Thursday, October 26th 2023",1,56.76,11.35,22.71,11.34,0,0.3,5,0,11.35,0.945,1.2,Other home and a restaurant ,10,0,13.23,45.4,1.6,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",3,0,22.7,7.57,15.12,40000,0.69,10,0,11.35,7.56,0.23,Meeting,2,0,0,0,0,30,0,0
"Ash-Shurūq , الشروق","Sunday, October 22nd 2023",8.5,189.2,22.7,0,29.484,0,1.15,5.5,0,11.35,2.646,0.6,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",6,122.98,22.7,52.99,26.46,4000,0.23,2,0,0,0,0,Restaurant,4,0,0,0,0.23,15,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",3,104.06,11.35,15.14,15.12,4000,0.6,8,0,0,0,0,Friend's house,3.5,0,3.78,0,0.6,30,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, October 26th 2023",1,94.6,22.715,37.85,15.12,4000,1.2,4,0,0,0,0,Restaurant,7,0,0,0,1.2,30,0,0
"Ash-Shurūq , الشروق","Monday, October 23rd 2023",6,116.673,11.35,0,31.563,0,0.69,7,0,11.35,2.835,0.6,cafe ,3,0,1.44774,11.35,0.6,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",6,94.6,22.7,22.71,15.12,4000,0.6,8,0,0,3.78,0.23,0,0,0,0,0,0,30,0,0
"Ash-Shurūq , الشروق","Tuesday, October 24th 2023",7,189.2,22.7,0,25.26,0,0.92,2,0,0,0,0,Restaurant and shopping mall,7,0,6.93,11.35,0.6,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",21,113.52,102.15,60.56,68.04,0,0.24,2,0,11.35,3.78,0.6,Club,1,0,7.56,11.35,0.6,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",14,75.68,56.75,0,41.58,0,0.12,7,0,45.4,34.02,0.18,restaurant,1,0,3.78,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",16,85.14,79.45,0,56.7,0,0.24,8,0,45.4,37.8,0.12,no place,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",17,94.6,68.1,0,49.14,0,0.18,7,0,45.4,11.34,0.18,no place,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, October 26th 2023",14,113.52,56.75,0,22.68,0,0.12,6,0,45.4,34.02,0.24,"restaurant, hanging around",4,0,22.68,22.7,0.12,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, October 26th 2023",18,189.2,45.4,0,18.9,0,1,6,0,11.35,11.34,1.2,N/A,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",7,113,34.05,0,18.9,0,1.8,6,0,22.7,7.56,1.2,Club,1.5,0,7.56,0,0.6,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",9,189,45.4,0,0,0,2.4,4,0,11.35,5.67,0.6,Club,2,0,7,0,1.2,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",8,165,34.05,0,0,0,1.8,4,0,11.35,4.5,0.6,Restaurant ,3,0,4.6,11.35,0.6,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",6,151,22.7,0,0,0,0,6,0,34,7.9,1.8,Club,2,0,4.9,0,1.2,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, October 26th 2023",8,217,22.7,0,7.56,0,1.8,3,0,0,0,0.6,Restaurant ,4,0,2.6,0,0.6,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Sunday, October 22nd 2023",8,94.6,22.7,0,15,0,1.2,4,0,11.53,3.78,0.6,0,0,0,0,0,0,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Monday, October 23rd 2023",10,104,34,0,15,0,2.4,4,0,11.35,3.78,0.6,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",20,141.9,34.05,0,11.34,0,1.2,4,0,11.35,3.78,0.6,NA,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",14.5,94.6,34.05,0,28.68,0,0.6,9.5,0,0,1.89,0.6,gym,1,0,0,0,0.6,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",24,189.2,34.05,0,15.12,0,0.6,0,0,0,0,0,wedding ,3,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, October 26th 2023",13,94.6,34.05,0,11.34,0,1.2,9,0,11.35,1.89,0.6,restaurant ,2,0,0,0,0,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Tuesday, October 24th 2023",14,85,56.75,0,19,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Thursday, October 26th 2023",15,122.98,45.4,0,16.25,0,1.3,4,0,11.35,9.45,0.3,Club,4,0,1.89,0,0.23,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Sunday, October 22nd 2023",9,160.82,22.7,0,9.82,0,1,12,0,22.7,11.34,1.2,0,0,0,0,0,0,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Wednesday, October 25th 2023",8,94.6,22.7,0,8,0,1.2,7,0,11.35,3.78,1.2,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",4,66.22,22.7,0,15.12,0,1.2,13,0,11.35,7.56,1.2,N/A,0,0,0,0,0,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Thursday, October 26th 2023",12,107,45.4,0,22,0,1.2,4,0,0,0,0.6,0,0,0,0,0,0,0,0,0
"Ash-Shurūq , الشروق","Wednesday, October 25th 2023",4,146.27,11.35,0,27.9089,0,0.92,5.5,0,22.7,5.67,0.6,Friend's place ,4.5,0,2.898,0,0.46,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",8,141.9,34.05,90.84,56.7,0,0.69,2,0,0,0,0,hanging around,6,0,11.34,11.35,0.6,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",5,94.6,22.7,0,45.36,0,0.92,3,0,0,0,0.6,hanging around ,7,0,22.68,22.7,1.2,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, October 26th 2023",4,75.68,22.7,37.85,0,0,0.46,8.5,0,11.35,26.46,1.8,hanging around ,5,0,0,0,0.6,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Wednesday, October 25th 2023",5,90.5,11.35,0,27.216,0,0.23,10,0,11.35,3.93,0.6,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",16,29.38,56.75,151.4,45.36,0,4.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Thursday, October 26th 2023",1,95.3,11.35,0,5.43,0,0.125,8,0,22.7,16.55,0.6,hanging around,8,0,0,0,0.6,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",12,0,56.75,0,56.7,0,3.6,7,0,11.35,15.12,3,Restaurant,4,0,11.34,11.35,0.46,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, October 26th 2023",18,37.84,56.75,189.25,75.6,0,4.5,4,0,11.35,3.78,0.6,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",8,104.1,56.75,0,3.5,0,3.7,6,0,0,4,0,N/A,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",9,94.6,79.45,0,0,0,4.5,1,0,0,0,0,hanging around,3,0,1.8,11.35,1,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",7,118.3,68.1,0,3.78,0,3.7,4,0,22.7,1.4,0.6,N/A,0,0,0,0,0,0,0,0
AUC Dorm,"Sunday, October 22nd 2023",2,0,11.35,0,11.34,0,0.3,14,0,45.4,22.68,2.4,No other places,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, October 26th 2023",5,123,45.4,0,2.5,0,2.1,6,0,22.7,1.2,1.2,hanging around,5,0,2.4,11.35,1.2,0,0,0
"Ash-Shurūq , الشروق","Thursday, October 26th 2023",4.5,163.97,11.35,0,33.39,0,0.46,7.5,0,11.35,5.544,0.6,cafe and shopping mall,6,0,7.56,11.35,0.83,0,0,0
AUC Dorm,"Monday, October 23rd 2023",10,0,56.75,0,22.68,0,2.4,6,0,11.35,3.78,1.2,No other places,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",2,0,11.35,0,15.12,0,0.46,13,0,11.35,13.23,1.8,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",10,47.3,22.7,0,7.58,0,1.2,12,0,11.35,3.78,1.8,0,0,0,0,0,0,0,0,0
